Year,Engine HP,Engine Cylinders,Number of Doors,highway MPG,city mpg,Popularity,MSRP
1998,218.0,6,2,23,17,436,4671
1999,218.0,6,2,23,17,436,5306
1999,320.0,6,2,22,16,436,7600
1999,161.0,6,2,22,17,436,4090
2015,300.0,6,4,31,19,1013,35070
2015,292.0,6,4,31,19,1013,42395
2016,300.0,6,4,31,19,1013,35595
2016,300.0,6,4,31,19,1013,36090
2016,292.0,6,4,31,19,1013,42690
2017,292.0,6,4,30,19,1013,38635
2017,300.0,6,4,30,19,1013,36170
2017,292.0,6,4,30,19,1013,42770
2017,300.0,6,4,30,19,1013,35675
2002,250.0,6,4,24,16,1013,32065
2002,250.0,6,4,24,16,1013,28540
2003,255.0,6,4,25,16,1013,32315
2003,250.0,6,4,25,16,1013,28885
2004,250.0,6,4,25,16,1013,29185
2004,255.0,6,4,25,16,1013,32615
1994,222.0,6,2,22,16,2009,2847
1994,222.0,6,2,22,16,2009,2488
1994,300.0,6,2,22,16,2009,2683
1994,222.0,6,2,22,16,2009,2553
1995,300.0,6,2,22,16,2009,3049
1995,222.0,6,2,22,17,2009,2774
1995,222.0,6,2,22,17,2009,2702
1995,222.0,6,2,22,17,2009,3101
1996,300.0,6,2,22,16,2009,3510
1996,222.0,6,2,22,17,2009,3107
1996,222.0,6,2,22,17,2009,3624
1996,222.0,6,2,22,17,2009,3185
1992,82.0,4,2,33,25,586,2000
1992,82.0,4,2,33,25,586,2000
1993,82.0,4,2,33,25,586,2000
1993,82.0,4,2,32,24,586,2000
1994,82.0,4,2,33,25,586,2000
1990,134.0,6,4,23,19,617,2144
1990,134.0,6,4,23,19,617,2098
1991,134.0,6,4,23,19,617,2178
1991,134.0,6,4,23,19,617,2311
2007,306.0,6,2,23,17,2009,36550
2007,306.0,6,2,23,17,2009,41250
2007,306.0,6,2,24,17,2009,30600
2007,306.0,6,2,24,17,2009,37100
2007,306.0,6,2,25,18,2009,27900
2007,306.0,6,2,25,18,2009,32700
2007,306.0,6,2,24,17,2009,40250
2007,306.0,6,2,24,17,2009,35550
2007,306.0,6,2,25,18,2009,36100
2007,306.0,6,2,24,17,2009,33200
2007,306.0,6,2,24,17,2009,37900
2007,306.0,6,2,25,18,2009,29600
2007,306.0,6,2,25,18,2009,38070
2007,306.0,6,2,23,17,2009,38900
2008,306.0,6,2,24,17,2009,33840
2008,306.0,6,2,24,17,2009,38630
2008,306.0,6,2,23,17,2009,39630
2008,306.0,6,2,24,17,2009,37740
2008,306.0,6,2,23,17,2009,41980
2008,306.0,6,2,24,17,2009,36280
2008,306.0,6,2,25,18,2009,36740
2008,306.0,6,2,24,17,2009,40980
2008,306.0,6,2,25,18,2009,38680
2008,306.0,6,2,25,18,2009,28510
2008,306.0,6,2,25,18,2009,30210
2008,306.0,6,2,24,17,2009,31210
2008,306.0,6,2,25,18,2009,33340
2008,306.0,6,2,23,17,2009,37280
2009,306.0,6,2,24,17,2009,41570
2009,306.0,6,2,24,17,2009,36870
2009,306.0,6,2,23,17,2009,42570
2009,306.0,6,2,23,17,2009,37870
2009,306.0,6,2,24,17,2009,39220
2009,306.0,6,2,23,17,2009,40220
2002,400.0,8,2,15,10,2774,160829
2002,400.0,8,2,15,10,2774,140615
2002,400.0,8,2,15,10,2774,150694
2002,400.0,8,2,15,10,2774,170829
2003,400.0,8,2,15,10,2774,165986
2003,400.0,8,2,15,10,2774,154090
2003,400.0,8,2,15,10,2774,143860
2003,400.0,8,2,15,10,2774,176287
2004,400.0,8,2,15,10,2774,157767
2004,425.0,8,2,15,10,2774,187124
2004,400.0,8,2,15,10,2774,147332
2004,400.0,8,2,15,10,2774,169900
2004,400.0,8,2,15,10,2774,180408
2015,350.0,6,2,26,19,2009,46790
2015,332.0,6,2,24,17,2009,48100
2015,332.0,6,2,26,18,2009,29990
2015,332.0,6,2,25,18,2009,41820
2015,332.0,6,2,26,19,2009,31290
2015,332.0,6,2,26,19,2009,34870
2015,332.0,6,2,26,18,2009,33570
2015,332.0,6,2,25,18,2009,46570
2015,332.0,6,2,26,18,2009,37970
2015,332.0,6,2,26,18,2009,37070
2015,332.0,6,2,25,18,2009,49400
2015,332.0,6,2,24,17,2009,45270
2015,332.0,6,2,26,19,2009,39270
2015,350.0,6,2,26,18,2009,45490
2015,350.0,6,2,26,18,2009,41990
2015,332.0,6,2,26,19,2009,38370
2015,350.0,6,2,26,19,2009,43290
2016,332.0,6,2,25,18,2009,41820
2016,332.0,6,2,24,17,2009,48100
2016,350.0,6,2,26,19,2009,43290
2016,332.0,6,2,26,19,2009,39270
2016,332.0,6,2,26,19,2009,34870
2016,350.0,6,2,26,18,2009,41990
2016,332.0,6,2,26,19,2009,38370
2016,332.0,6,2,24,17,2009,45270
2016,350.0,6,2,26,18,2009,45490
2016,332.0,6,2,26,18,2009,29990
2016,332.0,6,2,25,18,2009,46570
2016,350.0,6,2,26,19,2009,46790
2016,332.0,6,2,25,18,2009,49400
2016,332.0,6,2,26,18,2009,37070
2016,332.0,6,2,26,19,2009,31290
2016,332.0,6,2,26,18,2009,37970
2016,332.0,6,2,26,18,2009,33570
2017,332.0,6,2,26,18,2009,37970
2017,332.0,6,2,26,19,2009,38370
2017,332.0,6,2,26,19,2009,34870
2017,332.0,6,2,26,18,2009,29990
2017,350.0,6,2,26,18,2009,45490
2017,350.0,6,2,26,18,2009,41990
2017,332.0,6,2,24,17,2009,45270
2017,332.0,6,2,26,18,2009,33570
2017,332.0,6,2,24,17,2009,48100
2017,332.0,6,2,26,19,2009,39270
2017,332.0,6,2,25,18,2009,46570
2017,332.0,6,2,25,18,2009,49400
2017,332.0,6,2,26,18,2009,37070
2017,332.0,6,2,25,18,2009,41820
2017,350.0,6,2,26,19,2009,46790
2017,350.0,6,2,26,19,2009,43290
2017,332.0,6,2,26,19,2009,31290
2015,184.0,4,4,37,25,586,25045
2015,184.0,4,4,39,28,586,26095
2015,184.0,4,4,37,25,586,23845
2015,184.0,4,4,37,27,586,25395
2015,184.0,4,4,39,28,586,24895
2015,184.0,4,4,35,26,586,25545
2015,155.0,4,4,40,30,586,24295
2015,155.0,4,4,40,29,586,20095
2015,155.0,4,4,40,30,586,19995
2015,155.0,4,4,40,30,586,21145
2015,155.0,4,4,40,29,586,23245
2015,184.0,4,4,35,26,586,24345
2015,155.0,4,4,40,29,586,18945
2015,184.0,4,4,37,27,586,26595
2016,184.0,4,4,37,27,586,25495
2016,155.0,4,4,40,29,586,20745
2016,155.0,4,4,40,30,586,24295
2016,155.0,4,4,40,30,586,21795
2016,184.0,4,4,37,27,586,26495
2016,184.0,4,4,37,25,586,24745
2016,155.0,4,4,40,30,586,19595
2016,155.0,4,4,40,29,586,23245
2016,155.0,4,4,40,29,586,18545
2016,184.0,4,4,39,28,586,25795
2016,184.0,4,4,35,26,586,25445
2016,184.0,4,4,39,28,586,24795
2017,184.0,4,4,34,25,586,23145
2017,184.0,4,4,36,27,586,24195
2017,155.0,4,4,37,28,586,20145
2017,184.0,4,4,35,26,586,24945
2017,184.0,4,4,33,25,586,23895
2017,155.0,4,4,37,27,586,19095
2017,184.0,4,4,35,26,586,23445
2017,155.0,4,4,37,28,586,22245
2017,184.0,4,4,33,25,586,22395
2015,240.0,4,4,33,22,3916,42300
2015,240.0,4,4,34,23,3916,40300
2015,240.0,4,4,34,23,3916,40300
2015,240.0,4,4,33,22,3916,42300
2015,300.0,6,4,32,21,3916,45800
2015,300.0,6,4,31,20,3916,47800
2016,240.0,4,4,34,22,3916,43650
2016,300.0,6,4,30,20,3916,49950
2016,300.0,6,4,31,20,3916,47950
2016,240.0,4,4,34,23,3916,41650
2017,320.0,6,4,32,21,3916,48300
2017,320.0,6,4,31,21,3916,50300
2017,248.0,4,4,33,23,3916,43950
2017,248.0,4,4,34,23,3916,41950
2015,300.0,6,2,29,20,3916,56900
2015,300.0,6,2,32,21,3916,46250
2015,240.0,4,2,33,21,3916,50750
2015,240.0,4,2,33,22,3916,42750
2015,240.0,4,2,34,23,3916,48750
2015,300.0,6,2,30,20,3916,48250
2015,240.0,4,2,33,22,3916,42750
2015,240.0,4,2,33,21,3916,50750
2015,240.0,4,2,35,23,3916,40750
2015,300.0,6,2,31,20,3916,54900
2015,240.0,4,2,34,23,3916,48750
2015,240.0,4,2,35,23,3916,40750
2016,240.0,4,2,33,21,3916,52000
2016,240.0,4,2,34,23,3916,50000
2016,240.0,4,2,34,22,3916,41850
2016,300.0,6,2,30,20,3916,50150
2016,240.0,4,2,35,23,3916,41850
2016,300.0,6,2,29,20,3916,58950
2016,240.0,4,2,34,22,3916,43850
2016,300.0,6,2,31,20,3916,48150
2016,300.0,6,2,31,20,3916,56950
2017,248.0,4,2,34,23,3916,50300
2017,248.0,4,2,32,22,3916,52300
2017,320.0,6,2,31,21,3916,50500
2017,248.0,4,2,33,23,3916,44150
2017,248.0,4,2,34,23,3916,42150
2017,320.0,6,2,30,20,3916,59300
2017,320.0,6,2,29,21,3916,57300
2017,320.0,6,2,32,21,3916,48500
1992,268.0,8,4,20,15,617,2168
1992,282.0,8,4,16,12,617,2497
1993,275.0,8,4,22,16,617,2278
1993,275.0,8,4,17,13,617,2650
1990,201.0,8,4,17,14,617,2000
1991,201.0,8,4,17,14,617,2186
2001,442.0,12,2,14,9,2774,223970
2001,442.0,12,2,15,9,2774,219775
2002,442.0,12,2,14,9,2774,228625
2002,442.0,12,2,15,9,2774,224585
2003,442.0,12,2,14,9,2774,228625
2003,442.0,12,2,15,9,2774,224585
2013,562.0,8,2,17,13,2774,257412
2013,562.0,8,2,17,13,2774,233509
2014,562.0,8,2,17,13,2774,233509
2014,597.0,8,2,17,13,2774,288000
2014,562.0,8,2,17,13,2774,257412
2015,562.0,8,2,17,13,2774,239340
2015,562.0,8,2,17,13,2774,263553
2015,597.0,8,2,17,13,2774,291744
2015,237.0,4,2,34,24,113,63900
2015,237.0,4,2,34,24,113,68400
2015,237.0,4,2,34,24,113,53900
2016,237.0,4,2,34,24,113,55900
2016,237.0,4,2,34,24,113,65900
2015,300.0,6,4,28,19,3916,60700
2015,445.0,8,4,24,16,3916,71400
2015,300.0,6,4,26,18,3916,63000
2015,445.0,8,4,25,16,3916,69100
2016,300.0,6,4,26,18,3916,63200
2016,445.0,8,4,24,16,3916,72500
2016,300.0,6,4,28,19,3916,60900
2017,300.0,6,4,26,18,3916,63200
2017,300.0,6,4,27,19,3916,60900
2017,445.0,8,4,24,15,3916,72500
2015,443.0,8,4,25,16,3916,67200
2015,302.0,6,4,29,20,3916,57900
2015,255.0,6,4,38,26,3916,57100
2015,241.0,4,4,33,22,3916,52250
2015,255.0,6,4,37,26,3916,59400
2015,443.0,8,4,25,17,3916,64900
2015,241.0,4,4,34,23,3916,49950
2015,302.0,6,4,31,20,3916,55600
2016,255.0,6,4,38,26,3916,57350
2016,302.0,6,4,29,20,3916,58150
2016,302.0,6,4,31,20,3916,55850
2016,240.0,4,4,34,22,3916,52500
2016,240.0,4,4,34,23,3916,50200
2016,443.0,8,4,25,16,3916,68600
2016,443.0,8,4,25,17,3916,66300
2016,255.0,6,4,37,26,3916,59650
1991,322.0,8,2,17,13,617,4155
1992,322.0,8,4,15,11,617,2427
1992,322.0,8,4,16,13,617,3245
1992,322.0,8,2,17,13,617,4701
1993,315.0,8,2,16,12,617,3176
1993,315.0,8,4,18,14,617,3613
1993,315.0,8,2,19,14,617,5140
1993,315.0,8,4,16,12,617,2692
2015,160.0,4,2,34,28,819,26595
2015,101.0,4,2,40,31,819,18700
2015,135.0,4,2,34,28,819,19700
2015,160.0,4,2,34,28,819,22495
2015,101.0,4,2,40,31,819,17495
2015,101.0,4,2,40,31,819,17700
2015,101.0,4,2,40,31,819,20400
2015,101.0,4,2,40,31,819,16845
2016,160.0,4,2,34,28,819,26695
2016,101.0,4,2,40,31,819,21295
2016,101.0,4,2,40,31,819,20395
2016,101.0,4,2,40,31,819,17745
2016,160.0,4,2,34,28,819,22575
2016,101.0,4,2,40,31,819,16995
2016,135.0,4,2,34,28,819,19700
2016,101.0,4,2,40,31,819,17900
2017,160.0,4,2,33,28,819,19995
2017,101.0,4,2,33,27,819,19390
2017,160.0,4,2,33,28,819,21490
2017,101.0,4,2,33,27,819,15990
2016,180.0,4,4,30,21,819,24635
2016,180.0,4,4,31,22,819,25135
2016,180.0,4,4,30,21,819,29235
2016,180.0,4,4,31,22,819,23335
2016,180.0,4,4,31,22,819,22735
2016,180.0,4,4,30,21,819,27035
2016,160.0,4,4,34,25,819,20000
2016,180.0,4,4,31,22,819,27335
2016,180.0,4,4,30,21,819,25235
2017,180.0,4,4,29,21,819,27035
2017,180.0,4,4,30,22,819,25135
2017,180.0,4,4,29,21,819,25235
2017,180.0,4,4,29,21,819,23890
2017,180.0,4,4,30,22,819,23335
2017,160.0,4,4,33,25,819,19995
2001,485.0,12,2,12,8,2774,248500
2001,485.0,12,2,12,8,2774,205840
1990,238.0,8,2,16,12,617,2323
1990,238.0,8,4,16,12,617,2170
1991,238.0,8,2,16,12,617,2443
1991,238.0,8,4,16,12,617,2304
2016,562.0,8,2,23,16,416,184900
2002,515.0,12,2,15,9,2774,214670
2002,515.0,12,2,16,9,2774,224670
2003,515.0,12,2,15,9,2774,217890
2003,515.0,12,2,16,9,2774,228339
2004,515.0,12,2,16,9,2774,228339
2004,515.0,12,2,15,9,2774,217890
2010,543.0,12,4,16,10,67,366000
2010,631.0,12,4,16,10,67,455500
2010,604.0,12,4,16,10,67,405500
2011,543.0,12,4,16,10,67,372500
2011,620.0,12,4,16,10,67,412000
2012,543.0,12,4,16,10,67,379050
2012,620.0,12,4,16,10,67,418950
2009,611.0,12,2,15,11,2774,320580
2009,611.0,12,2,15,11,2774,310543
2010,611.0,12,2,15,11,2774,310543
2011,611.0,12,2,15,11,2774,320580
2011,661.0,12,2,15,11,2774,410000
2015,445.0,8,4,24,16,3916,92600
2015,315.0,6,4,29,20,3916,81300
2015,315.0,6,4,31,20,3916,78300
2015,445.0,8,4,25,17,3916,89600
2016,445.0,8,4,24,15,3916,93900
2016,315.0,6,4,29,20,3916,82500
2016,445.0,8,4,25,17,3916,90900
2016,315.0,6,4,31,20,3916,79500
2017,445.0,8,4,24,17,3916,91200
2017,315.0,6,4,28,19,3916,82800
2017,445.0,8,4,24,15,3916,94200
2017,315.0,6,4,29,20,3916,79800
2015,445.0,8,2,25,17,3916,94900
2015,315.0,6,2,29,20,3916,86600
2015,315.0,6,2,29,20,3916,79100
2015,315.0,6,2,32,21,3916,76100
2015,445.0,8,2,25,16,3916,90400
2015,315.0,6,2,31,20,3916,83600
2015,445.0,8,2,25,17,3916,87400
2015,445.0,8,2,24,16,3916,97900
2016,315.0,6,2,29,20,3916,87800
2016,315.0,6,2,31,20,3916,77300
2016,445.0,8,2,24,15,3916,99200
2016,445.0,8,2,25,17,3916,96200
2016,315.0,6,2,29,20,3916,80300
2016,315.0,6,2,31,20,3916,84800
2016,445.0,8,2,25,16,3916,91700
2016,445.0,8,2,25,17,3916,88700
2017,445.0,8,2,24,16,3916,92000
2017,315.0,6,2,30,21,3916,77600
2017,445.0,8,2,24,17,3916,89000
2017,315.0,6,2,28,19,3916,80600
2017,315.0,6,2,29,20,3916,85100
2017,315.0,6,2,28,19,3916,88100
2017,445.0,8,2,24,17,3916,96500
2017,445.0,8,2,24,15,3916,99500
1992,402.0,12,4,14,10,617,2960
1993,389.0,12,4,15,11,617,3108
1993,389.0,12,2,16,12,617,4623
1993,389.0,12,2,15,11,617,3211
2009,532.0,12,2,16,9,2774,313088
2010,532.0,12,2,16,9,2774,313088
2011,532.0,12,2,16,9,2774,313088
2010,604.0,12,4,16,10,67,456500
2010,543.0,12,4,16,10,67,417000
2010,631.0,12,4,16,10,67,506500
2011,543.0,12,4,16,10,67,423500
2011,620.0,12,4,16,10,67,463000
2012,620.0,12,4,16,10,67,470350
2012,543.0,12,4,16,10,67,430450
2015,641.0,8,2,22,16,416,265500
2015,641.0,8,2,22,16,416,280225
2015,535.0,12,4,20,13,3916,141200
2015,315.0,6,4,29,19,3916,78000
2015,445.0,8,4,25,16,3916,91000
2015,445.0,8,4,24,16,3916,94000
2015,315.0,6,4,28,19,3916,81000
2015,315.0,6,4,29,19,3916,74000
2015,445.0,8,4,25,17,3916,87300
2015,445.0,8,4,24,16,3916,90300
2015,255.0,6,4,31,23,3916,82500
2016,445.0,8,4,25,17,3916,94400
2016,320.0,6,4,29,21,3916,81300
2016,445.0,8,4,25,16,3916,97400
2017,445.0,8,4,26,17,3916,94600
2017,445.0,8,4,25,16,3916,97600
2017,320.0,6,4,28,19,3916,84500
2017,320.0,6,4,29,21,3916,81500
2017,300.0,4,2,28,21,1715,53900
2017,350.0,4,2,26,20,1715,66300
1990,114.0,4,4,26,19,870,2000
1990,153.0,4,4,26,19,870,2000
1990,114.0,4,4,26,19,870,2000
1990,114.0,4,4,26,19,870,2000
1990,114.0,4,4,26,19,870,2000
1990,153.0,4,4,23,18,870,2000
1991,162.0,4,4,20,17,870,2000
1991,162.0,4,4,24,18,870,2000
1991,114.0,4,4,24,18,870,2000
1991,162.0,4,4,20,17,870,2000
1991,162.0,4,4,24,18,870,2000
1991,114.0,4,4,24,18,870,2000
1992,162.0,4,4,20,17,870,2000
1992,114.0,4,4,26,18,870,2000
1992,114.0,4,4,26,18,870,2000
1992,114.0,4,4,26,18,870,2000
1990,144.0,6,4,19,15,870,2000
1990,162.0,4,4,20,16,870,2000
1990,162.0,4,4,20,16,870,2000
1990,188.0,4,2,20,16,870,2000
1990,144.0,6,2,19,15,870,2000
1995,282.0,8,2,22,15,3916,4784
1995,322.0,12,2,19,12,3916,5858
1995,372.0,12,2,18,10,3916,8488
1996,322.0,12,2,19,12,3916,6954
1996,282.0,8,2,19,14,3916,5680
1997,322.0,12,2,19,12,3916,7624
1997,282.0,8,2,19,14,3916,6693
1990,108.0,4,4,28,19,3105,2000
1990,130.0,5,4,22,16,3105,2000
1991,130.0,5,4,24,18,3105,2000
1991,130.0,5,4,22,16,3105,2000
1992,130.0,5,4,24,18,3105,2000
1992,130.0,5,4,22,16,3105,2000
1995,222.0,5,4,24,17,870,2000
1995,168.0,5,4,26,18,870,2000
1995,240.0,5,4,24,17,870,2000
1995,168.0,5,4,26,18,870,2000
1995,168.0,5,4,26,18,870,2000
1995,222.0,5,4,24,17,870,2000
1995,168.0,5,4,26,18,870,2000
1995,240.0,5,4,24,17,870,2000
1996,222.0,5,4,24,17,870,2000
1996,222.0,5,4,24,17,870,2000
1996,168.0,5,4,26,18,870,2000
1996,222.0,5,4,24,17,870,2000
1996,240.0,5,4,24,17,870,2000
1996,168.0,5,4,26,18,870,2000
1996,240.0,5,4,24,17,870,2000
1996,222.0,5,4,24,17,870,2000
1996,168.0,5,4,26,18,870,2000
1996,168.0,5,4,26,18,870,2000
1997,168.0,5,4,26,18,870,2000
1997,168.0,5,4,26,18,870,2000
1997,240.0,5,4,24,17,870,2000
1997,222.0,5,4,24,17,870,2000
1997,240.0,5,4,24,17,870,2091
1997,190.0,5,4,24,18,870,2000
1997,190.0,5,4,24,18,870,2000
1997,222.0,5,4,24,17,870,2000
2017,205.0,4,2,28,21,2031,26255
2017,200.0,4,2,32,24,2031,26975
2005,227.0,4,4,24,17,376,26950
2005,165.0,4,4,27,20,376,22990
2006,230.0,4,4,25,18,376,26950
2006,173.0,4,4,26,19,376,22990
2012,220.0,4,4,33,20,376,28900
2012,220.0,4,2,33,20,376,44080
2012,220.0,4,2,33,20,376,46080
2012,220.0,4,4,30,20,376,37115
2012,220.0,4,2,33,20,376,39490
2012,220.0,4,4,33,20,376,34340
2012,220.0,4,2,28,18,376,44080
2012,220.0,4,2,28,18,376,40840
2012,220.0,4,4,28,18,376,31180
2012,220.0,4,4,30,20,376,32395
